Filename,Protocole,echantillon,Impacts potentiels,Extrait pertinent,Évaluation d'invasivité,Justification d'invasivité,Péchés identifiés,Taux de confiance,annonce_invasivite,justification_annonce_invasivite
Molecular Ecology Resources - 2013 - Bidon - A sensitive and specific multiplex PCR approach for sex identification of,Collecte d'échantillons dans la nature,Cheveux et fèces,"['Stress pour les animaux', 'Perturbation du comportement naturel']","['In addition, hair and scat samples from brown bears were collected in the field...', 'We used ten hair samples (...) collected in the field']",Invasif,"Le protocole mentionne la collecte de cheveux et de fèces dans le champ, ce qui implique un contact direct avec l'animal vivant.",[1],90%,Non,"Le titre de l'article mentionne explicitement que la méthode est adaptée pour les échantillons non-invasifs, mais il n'y a pas de déclaration explicite ou implicite dans le corps de l'article concernant la non-invasivité du protocole spécifique de collecte d'échantillons dans la nature."
Molecular Ecology Resources - 2013 - Bidon - A sensitive and specific multiplex PCR approach for sex identification of,Extraction d'ADN à partir d'échantillons congelés,Tissu ou sang congelé,[],['DNA was extracted from frozen tissue or blood samples using a modified Puregene (Qiagen) DNA extraction protocol.'],Non invasif,"Le protocole utilise des échantillons de tissu ou de sang congelés, qui ont été prélevés précédemment et ne nécessitent aucun contact direct avec l'animal vivant ni perturbation de son comportement naturel. Il n'y a pas de capture ou de manipulation d'animaux vivants.",[],"80% - Implicite fort, car il n'y a pas de détails sur la collecte initiale des échantillons, mais la méthode d'extraction utilisée indique clairement que les échantillons étaient déjà congelés.",,
Molecular Ecology Resources - 2013 - Bidon - A sensitive and specific multiplex PCR approach for sex identification of,Collecte d'échantillons dans un zoo,Fèces et cheveux,[],"['Faeces from zoo animals were sampled fresh and stored in 96% ethanol not more than 72 h after deposit.', 'Hair and faecal samples from zoo animals (...) were sexed correctly.']",Non invasif,"Les échantillons ont été prélevés dans un zoo, où les animaux sont déjà captifs et ne sont pas perturbés par la collecte des échantillons. Il n'y a pas de contact direct avec l'animal vivant ni de modification du comportement naturel.",[],"80% - Justification : La méthodologie est implicitement forte car elle est basée sur la déduction que les animaux sont déjà captifs dans un zoo, mais il manque des informations sur la fréquence et l'intensité de l'échantillonnage.",,
The application of non-invasive genetic tagging reveals new insights into the clay lick use by macaw,Collecte de plumes chez les oiseaux,Plumes,"['Stress pour les oiseaux', 'Perturbation du marquage territorial']","['feathers should be collected on a regular basis (e.g., every week', 'Feathers were collected explicitly in the breeding season']",Invasif,La collecte régulière de plumes est invasive car elle modifie le comportement naturel des oiseaux. La collecte explicite pendant la saison de reproduction indique que les plumes ont été collectées naturellement abandonnées.,[],"80% - La justification est basée sur les règles spécifiques aux oiseaux et les mots-clés de non-invasivité, mais il manque des informations sur la fréquence et l'exhaustivité de la collecte.",Oui,"Le titre de l'article contient explicitement la mention 'non-invasive genetic tagging', ce qui indique que le protocole utilisé est non invasif."
Mowry-et-al-2015-Missouri-river-otter-2eafd4v,Collecte d'échantillons non invasifs,"Fèces et sécrétions des glandes anales, Cheveux et fèces","['Perturbation du marquage territorial', 'Stress potentiellement causé aux animaux', 'Stress pour les animaux', 'Modification du comportement naturel']","['Upon locating a latrine, field crews recorded the Global Positioning System coordinates and cleared all scats', 'then returned after 5 days to collect all new scat and anal sac samples.', 'We collected hair and scat samples within a 4×7-km grid']",Invasif,Le protocole implique la manipulation de l'habitat naturel des animaux en retirant tous les excréments et en revenant plus tard pour collecter de nouveaux échantillons. Cela peut perturber le comportement naturel des animaux.,"[3, 1, 2]",100% - La méthodologie est explicitement détaillée.,Non,Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole détecté comme invasif n'est pas mentionné dans le titre. Le corps de l'article ne contient pas de phrase indiquant explicitement que ce protocole est non invasif.
Mowry-et-al-2015-Missouri-river-otter-2eafd4v,Collecte d'échantillons non invasifs,Cheveux et fèces,[],['We collected a total of 63 non-invasive samples (30 hair and 33 scat samples).'],Non invasif,Le protocole mentionne explicitement que les échantillons sont non-invasifs. Les échantillons de cheveux et de fèces ont été collectés sans capture ni manipulation directe des animaux.,[],"90% - La méthodologie est explicitement décrite comme non invasive, mais il manque des informations sur la fréquence et l'intensité de l'échantillonnage.",,
Wildlife Society Bulletin - 2016 - Gulsby - Efficacy and precision of fecal genotyping to estimate coyote abundance,Collecte de fèces de coyote,Fèces,['Perturbation du comportement naturel'],"['We collected putative coyote scats approximately weekly on each study area during February 2010-April 2012 along permanently identified survey routes that consisted of unpaved roads and trails.', 'We collected approximately 3 mL (i.e., size of a small grape) of fecal matter from the outside edges of each scat in the field and placed the sample into a 15-mL polystyrene centrifuge tube filled with 9 mL of 95% EtOH.']",Invasif,"La collecte est effectuée de manière systématique et régulière (chaque semaine) sur des routes d'étude permanentes, ce qui peut perturber le comportement naturel des animaux. Cela remplit donc le critère d'invasivité lié à la modification du comportement.",[1],90% - Les termes utilisés dans le protocole sont clairs et permettent une déduction solide.,Non,Le titre de l'article ne contient pas de déclaration globale de non-invasivité. Le protocole détecté comme invasif n'est pas mentionné dans le titre. Le corps de l'article ne contient pas de phrase indiquant explicitement que la collecte de fèces de coyote est non invasive.
Integrative Zoology - 2015 - SOROKIN - Genetic structure of the Amur tiger  Panthera tigris altaica  population  Are tigers,Échantillonnage d'ADN à partir de fèces et sang de tigres,"Fèces, sang","['Stress pour les animaux capturés', 'Blessures potentielles']","['We conducted molecular genetic analysis of DNA isolated from 256 samples of feces, 7 samples of hair, and 11 blood samples collected in winter from tigers from 4 parts of their range in the Russian Far East...', 'Feces were collected frozen during winter surveys in 2009-2013. Blood samples were taken from 11 animals captured and tagged with GPS collars.']",Invasif,"Le protocole implique la capture et le marquage des animaux avec des colliers GPS, ce qui cause du stress et potentiellement des blessures.",[],100% - La méthodologie est explicitement détaillée.,Non,Le titre ne mentionne pas explicitement que le protocole est non invasif. Le corps de l'article ne contient pas de phrase indiquant explicitement que le protocole en question est non invasif.
1-s2.0-S2213224416300608-main,Collecte de fèces non invasive chez les primates,Fèces,[],"['A total of 420 samples were collected between 2013 and 2015 from 68 primate troops inhabiting 52 localities', 'We were able to extract and amplify DNA from four of the six different egg morphotypes found in the faeces.', 'Non-invasive sampling techniques were employed, collecting faecal samples immediately after defecation to avoid contamination']",Non invasif,"Le protocole utilise des techniques d'échantillonnage non invasives en collectant les fèces immédiatement après la défécation pour éviter toute contamination. Il n'y a pas de capture ou manipulation directe des animaux, ni modification du comportement naturel.",['1'],80% - Justification : La méthodologie est implicitement forte car elle permet une déduction solide basée sur les mots-clés de non-invasivité.,,
American J Primatol - 2015 - Basabose - Estimation of chimpanzee community size and genetic diversity in Kahuzi‐Biega,Chimpanzee fecal sampling,Fèces de mammifères,"['Modification du comportement naturel des chimpanzees', ""Perturbation de l'habitat""]","['Chimpanzee fecal samples were collected in the study area (Fig. 1).', 'At all nest sites, only feces estimated to be 1-2 days old were sampled.', 'Only tree nests confirmed to have been used by chimpanzees (presence of fresh feces) were sampled and only fecal samples found in or beneath a night tree nest were collected.']",Invasif,"Le protocole implique la collecte systématique de fèces sur l'ensemble du territoire des chimpanzees, ce qui peut affecter leur comportement naturel et perturber leur habitat. De plus, la collecte de fèces fraîches confirme l'utilisation récente du site par les chimpanzees, ce qui peut entraîner une modification du comportement.",[],"85% - Les termes utilisés dans le protocole sont clairs, mais il manque des informations sur la fréquence et l'intensité de l'échantillonnage.",Non,Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole détecté comme invasif n'est pas mentionné dans le titre. Le corps de l'article ne contient pas de phrase indiquant explicitement que le protocole en question est non invasif.
American J Primatol - 2015 - Basabose - Estimation of chimpanzee community size and genetic diversity in Kahuzi‐Biega,Non-invasive genetic method,ADN environnemental (eDNA),[],['We used a non-invasive genetic method in the present study'],Non invasif,"Le protocole utilise une méthode génétique non invasive, ce qui signifie qu'il n'y a pas de contact direct avec l'animal vivant et que la collecte d'échantillons ne nécessite pas la capture ou la manipulation de l'animal vivant.",[],100% - La méthodologie est explicitement décrite comme non invasive.,,
Examining spatial patterns of selection and use for an altered predator guild,Collecte de fèces de mammifères à l'aide de chiens détecteurs,Fèces,"['Stress pour les animaux', 'Perturbation du comportement naturel']","['We collected red fox, Canada lynx, coyote, and black bear scats using scat-detecting dogs from 2009 to 2012 in Newfoundland.', 'Scats were also collected along roads during travel to and from search locations.']",Invasif,"Le protocole implique l'utilisation de chiens pour détecter les fèces, ce qui constitue une manipulation directe des animaux. De plus, la collecte de fèces le long des routes peut être considérée comme invasive si elle est effectuée de manière systématique ou exhaustive.","[1, 3]",95% - Les termes utilisés et la méthodologie décrite permettent une déduction solide.,Non,Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole détecté comme invasif n'est pas mentionné dans le titre. Il n'y a pas de phrase indiquant explicitement que ce protocole est non invasif dans le corps de l'article.
Genetic structure and population history of wintering Asian Great Bustard (Otis tarda dybowskii) in,Fecal sampling of Great Bustard,Fèces,[],"['Fecal sampling was conducted from December 2015 to March 2016... The overnight roosts and foraging grounds of the Great Bustard were observed with telescopes and, once birds flew away, fresh fecal samples were collected immediately.']",Non invasif,"Les échantillons de fèces ont été collectés après le départ des oiseaux, sans capture ni manipulation. La collecte était opportuniste et non systématique.",[],"80% - La méthodologie est détaillée, mais il manque des informations sur la fréquence.",,
Genetic structure and population history of wintering Asian Great Bustard (Otis tarda dybowskii) in,Tissue sampling of Leopard Cat,"Échantillons de tissus, d'ongles et de queues prélevés dans les contenus stomacaux, échantillons osseux prélevés dans les fèces du chat sauvage",['Stress potentiellement causé par la manipulation des échantillons prélevés dans les fées'],"['Twenty-five milligrams of each individual tissue, toe, and tail sample from the stomach contents was isolated.', 'Bone samples from the scat of leopard cats were carefully cleaned using a disposable scalpel and compressed air and were ground to a fine powder in a small mortar.']",Invasif,"Le protocole implique la manipulation d'échantillons prélevés dans les fèces, ce qui peut être considéré comme invasif selon les critères spécifiques aux mammifères. La collecte de fèces est considérée comme invasive si elle est systématique et exhaustive sur le même territoire.",['3'],100% - La méthodologie est explicitement détaillée et ne laisse pas de place à l'interprétation.,Non,Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole détecté comme invasif n'est pas mentionné dans le titre. Le corps de l'article ne contient pas de phrase indiquant explicitement que le protocole en question est non invasif.
Genetic structure and population history of wintering Asian Great Bustard (Otis tarda dybowskii) in,Stomach sampling of Leopard Cat,Stomacs,['Stress potentiellement subi par les animaux vivants dans la région'],"['The stomachs of 11 dead leopard cats were collected along the roads in Gurye, Korea']",Invasif,"Le protocole implique la collecte de stomachs de léopards morts, ce qui nécessite un contact direct avec l'animal vivant et une manipulation de l'animal mort.",[1],95% - La méthodologie est explicitement détaillée et ne laisse pas de place au doute.,Non,Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole détecté comme invasif n'est pas mentionné dans le titre. Le corps de l'article ne contient pas de phrase indiquant explicitement que le protocole en question est non invasif.
Genetic structure and population history of wintering Asian Great Bustard (Otis tarda dybowskii) in,Scat sampling of Leopard Cat,Fèces,"['Perturbation du marquage territorial', 'Stress potentiellement subi par les animaux vivants dans la région']","['Scat was collected from Samcheok in 2006, Goheung in 2011, and Gwangju in 2011 in Korea']",Invasif - Territory marking,"Le protocole implique la collecte systématique de fèces sur un territoire donné, ce qui peut affecter le marquage territorial et perturber significativement l'habitat.",[2],"90% - La méthodologie est explicitement détaillée, mais il manque des informations sur l'impact exact de la collecte systématique sur le marquage territorial.",Non,Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole détecté comme invasif n'est pas mentionné dans le titre. Le corps de l'article ne contient pas de phrase indiquant explicitement que le protocole en question est non invasif.
1-s2.0-S1616504714000366-main,Échantillonnage d'ADN non invasif à partir de fèces,Fèces,[],"['We developed a reliable 11 microsatellite multiplex protocol for individual otter identification (...) proving a means of efficient application of non-invasive genetic monitoring of otters from spraints.', 'The genotyping success from fecal samples (43.3%) was similar to other studies carried out with this species (...).', 'As previously reported in the literature (...) we found that genotyping success improves when working with fresh samples, where the 96.4% of the completely genotyped samples were collected within 24 hours of deposition.', 'We obtained DNA from non-invasive sampling of feces.', 'Fecal samples, with two replicates when possible, were stored in sterile 1.5 ml tubes containing 96% vol. ethanol and frozen at -20 °C until processed.']",Non invasif,"Le protocole utilise des échantillons de fèces (spraints) prélevés sur le terrain, ce qui ne nécessite pas de contact direct avec l'animal vivant. De plus, la collecte de ces échantillons est décrite comme non invasive dans la littérature précédente.",[],100% - Les informations fournies sont explicites et permettent une évaluation claire de l'invasivité du protocole.,,
1-s2.0-S1616504714000366-main,Échantillonnage d'ADN environnemental non invasif,ADN environnemental (eDNA),[],['All samples corresponding to otter were individually genotyped using a novel multiplex panel of 11 autosomal microsatellite markers'],Non invasif,"Le protocole utilise l'ADN environnemental (eDNA) qui est considéré comme non invasif car il ne nécessite pas de perturbation de l'habitat ou de manipulation des animaux. Il n'y a pas de mention de capture, de manipulation ou d'utilisation d'appâts.",[],"80% - Justification : La présence du terme 'non-invasive genetic sampling' indique une intention de ne pas perturber les animaux ou leur habitat. Cependant, il manque des détails sur la méthode de prélèvement de l'ADN environnemental.",,
Fitak-2016b,Collecte d'échantillons de tissus et de sang chez les pumas,Tissus et échantillons de sang total,"['Stress pour les animaux', 'Blessures potentielles']","['We collected 520 tissue samples from hunter-harvested pumas', 'We collected whole blood samples from 12 pumas of wild origin via saphenous venipuncture.']",Invasif,"Le protocole implique la collecte de tissus sur des pumas capturés par des chasseurs et un contact direct avec l'animal vivant via saphenous venipuncture, ce qui représente une capture ou manipulation de l'animal vivant.","[1, 3]",100%,Non,Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole détecté comme invasif n'est pas mentionné dans le titre. Le corps de l'article ne contient pas de phrase indiquant explicitement que ce protocole est non invasif.
Ausband_et_al-2015-Animal_Conservation,Échantillonnage de fèces de loups,Fèces,"['Stress pour les animaux capturés et collés', 'Perturbation possible du territoire']","['We used radiotelemetry locations of wolves collared as part of the annual state monitoring efforts to locate and sample rendezvous sites.', 'At occupied or recently occupied sites, we located the activity center and collected scat samples for 3-4 h radiating out from the activity center on trails to ensure we collected scats from all available adults in the pack.']",Invasif,"Le protocole implique la capture et le collage des loups pour localiser les sites de rendez-vous, ce qui est invasif selon le critère 'Contact direct avec l'animal vivant'. De plus, la collecte systématique et exhaustive de fèces sur un territoire occupé ou récemment occupé peut être considérée comme invasive selon le critère 'Invasif - Territory marking' si cela affecte le marquage territorial.","['1', '4']","95% - Les termes utilisés ('collared', 'sample') et la description de la méthode sont clairs et permettent une évaluation solide.",Non,Le titre ne mentionne pas explicitement que le protocole est non invasif. Le corps de l'article ne contient pas de phrase indiquant explicitement que le protocole d'échantillonnage de fèces de loups est non invasif.
Wildlife Society Bulletin - 2013 - Fournier - A morphometric model to predict the sex of virginia rails  Rallus limicola,Échantillonnage de plumes d'oiseaux,Plumes,"['Stress pour les oiseaux capturés', 'Possibilité de blessures lors de la capture']","['We captured adult birds at Ottawa National Wildlife Refuge using live traps based on Kearns et al. (1998) during the springs of 2002-2011.', 'We collected one primary feather from each bird for genetic analysis.', 'We randomly selected a subset of the feathers of live-birds for genetic sex determination.']",Invasif,"Le protocole implique la capture des oiseaux vivants à l'aide de pièges vivants, ce qui entraîne un contact direct avec les animaux vivants et une modification du comportement naturel. Cela remplit deux des critères d'invasivité.","[1, 3]","85% - L'utilisation de plumes naturelles est clairement mentionnée, mais il manque des informations sur la fréquence et l'intensité de l'échantillonnage.",Non,Le titre 'Tools and Technology' ne contient pas de déclaration globale de non-invasivité. Le protocole d'échantillonnage de plumes d'oiseaux est décrit dans l'article mais il n'y a pas de mention explicite ou implicite qu'il est non invasif.
Wildlife Society Bulletin - 2013 - Fournier - A morphometric model to predict the sex of virginia rails  Rallus limicola,Échantillonnage de fèces de mammifères,Fèces,[],['A total of 307 fecal samples were collected from the unhabituated gorilla groups in the Virunga Massif.'],Non invasif,"Les échantillons de fèces ont été collectés à partir de sites de nidification multiples sans capture ou manipulation des animaux. La collecte a eu lieu dans des groupes non habitués, ce qui indique que les gorilles n'ont pas été perturbés par la présence humaine régulière.",['1'],95% - Les informations fournies sont claires et permettent une évaluation solide de la non-invasivité du protocole.,,
Improving DNA quality extracted from fecal samples-a method to improve DNA yield,Collecte et extraction d'ADN à partir de fèces,Fèces,"['Stress potentiellement causé aux animaux lors de la collecte des fèces.', 'Impact sur le marquage territorial si les fèces sont collectées de manière systématique ou exhaustive.']","['The large size and the nonpellet form of the feces, on which is necessary to select a region of the outer surface for the extraction process.', 'Equus africanus samples were stored for 2-3 years at room temperature but were dried immediately after collection; Equus hemionus samples were also dried immediately after collection and stored for 6 months at room temperature; Equus kiang samples were collected in the winter and were dried upon arrival at the laboratory, where they were dried and stored for 6 months at room temperature before the DNA extraction.', 'Superficial portions of the stool samples were removed using a sterile scalpel']",Invasif,"Le protocole implique la collecte de fèces, qui peut être considérée comme invasive si elle est effectuée de manière systématique ou exhaustive. Dans ce cas, les échantillons ont été séchés et stockés après avoir été collectés, ce qui indique une collecte intentionnelle plutôt qu'opportuniste.","[2, 4]",85% - La méthodologie est détaillée mais il manque des informations sur la fréquence et l'exhaustivité de la collecte.,Non,"Le titre de l'article ne mentionne pas explicitement que le protocole est non invasif. De plus, dans le corps de l'article, il n'y a aucune phrase indiquant explicitement que ce protocole est non invasif."
Improving DNA quality extracted from fecal samples-a method to improve DNA yield,Préparation d'échantillons à partir de tubes centrifugés,Supernatant de centrifugation,[],['The tubes were centrifuged at 4000 rpm for 3 min. The supernatant was transferred to a new 15-ml tube leaving any solids behind.'],Non invasif,"Le protocole décrit une méthode de préparation d'échantillons à partir de tubes centrifugés, sans mentionner la collecte ou la manipulation d'animaux vivants. Il n'y a pas de mots-clés indiquant une perturbation significative de l'habitat ou l'utilisation d'appâts.",[],100% - La méthodologie est explicitement décrite et ne mentionne pas d'interactions avec des animaux vivants.,,
Improving DNA quality extracted from fecal samples-a method to improve DNA yield,Mesures de stérilisation,Non applicable,['Contamination croisée entre étapes'],"['All procedures were carried out in a laminar flow chamber', 'All the equipment used were sterilized with bleach and exposed to UV light before and after usage.']",Invasif,"Le protocole mentionne la stérilisation de l'équipement avec du javelle et une exposition aux UV avant et après usage, ce qui indique un contact direct avec les échantillons.",[1],90%,Non,Le titre de l'article ne contient pas de déclaration globale de non-invasivité. Le protocole détecté comme invasif n'est pas mentionné dans le titre. Le corps de l'article ne contient pas de phrase indiquant explicitement que ce protocole est non invasif.
